N_entangling,N_entangling_sampler
12.0,25.0
12.0,17.0
12.0,25.0
12.0,21.0
12.0,21.0
12.0,23.0
12.0,25.0
12.0,30.0
12.0,21.0
12.0,21.0
12.0,27.0
12.0,20.0
12.0,20.0
12.0,23.0
12.0,21.0
12.0,26.0
12.0,23.0
12.0,24.0
12.0,19.0
12.0,25.0
12.0,28.0
12.0,26.0
12.0,28.0
12.0,24.0
12.0,18.0
12.0,15.0
12.0,19.0
12.0,14.0
12.0,28.0
12.0,16.0
12.0,18.0
12.0,24.0
12.0,25.0
12.0,12.0
12.0,21.0
12.0,21.0
12.0,30.0
12.0,20.0
12.0,32.0
12.0,19.0
12.0,22.0
12.0,29.0
12.0,25.0
12.0,24.0
12.0,24.0
12.0,19.0
12.0,27.0
12.0,21.0
12.0,20.0
12.0,21.0
12.0,23.0
12.0,18.0
12.0,13.0
12.0,31.0
12.0,16.0
12.0,14.0
12.0,23.0
12.0,34.0
12.0,20.0
12.0,27.0
12.0,26.0
12.0,27.0
12.0,33.0
12.0,23.0
12.0,23.0
12.0,21.0
12.0,31.0
12.0,22.0
12.0,31.0
12.0,30.0
12.0,16.0
12.0,18.0
12.0,28.0
12.0,22.0
12.0,25.0
12.0,17.0
12.0,30.0
12.0,29.0
12.0,23.0
12.0,30.0
12.0,25.0
12.0,22.0
12.0,25.0
12.0,27.0
12.0,22.0
12.0,20.0
12.0,19.0
12.0,27.0
12.0,24.0
12.0,27.0
12.0,18.0
12.0,21.0
12.0,25.0
12.0,21.0
12.0,25.0
12.0,20.0
12.0,27.0
12.0,19.0
12.0,25.0
12.0,29.0
12.0,22.0
12.0,18.0
12.0,16.0
12.0,28.0
12.0,23.0
12.0,29.0
12.0,22.0
12.0,31.0
12.0,20.0
12.0,15.0
12.0,23.0
12.0,21.0
12.0,26.0
12.0,26.0
12.0,24.0
12.0,24.0
12.0,21.0
12.0,27.0
12.0,23.0
12.0,17.0
12.0,29.0
12.0,25.0
12.0,18.0
12.0,22.0
12.0,21.0
12.0,19.0
12.0,25.0
12.0,33.0
12.0,18.0
12.0,23.0
12.0,15.0
12.0,25.0
12.0,20.0
12.0,21.0
12.0,20.0
12.0,28.0
12.0,24.0
12.0,28.0
12.0,23.0
12.0,19.0
12.0,21.0
12.0,25.0
12.0,24.0
12.0,23.0
12.0,19.0
12.0,24.0
12.0,22.0
12.0,17.0
12.0,22.0
12.0,27.0
12.0,25.0
12.0,21.0
12.0,22.0
12.0,24.0
12.0,22.0
12.0,33.0
12.0,23.0
12.0,25.0
12.0,15.0
12.0,24.0
12.0,26.0
12.0,15.0
12.0,25.0
12.0,24.0
12.0,19.0
12.0,20.0
12.0,27.0
12.0,24.0
12.0,25.0
12.0,22.0
12.0,22.0
12.0,25.0
12.0,23.0
12.0,30.0
12.0,28.0
12.0,19.0
12.0,22.0
12.0,21.0
12.0,27.0
12.0,21.0
12.0,25.0
12.0,20.0
12.0,18.0
12.0,19.0
12.0,23.0
12.0,28.0
12.0,27.0
12.0,15.0
12.0,33.0
12.0,29.0
12.0,27.0
12.0,16.0
12.0,22.0
12.0,20.0
12.0,22.0
12.0,27.0
12.0,15.0
12.0,23.0
12.0,23.0
12.0,18.0
12.0,25.0
12.0,21.0
12.0,22.0
12.0,21.0
12.0,25.0
12.0,33.0
12.0,18.0
12.0,24.0
12.0,19.0
12.0,26.0
12.0,21.0
12.0,19.0
12.0,16.0
12.0,23.0
12.0,26.0
12.0,27.0
12.0,25.0
12.0,24.0
12.0,27.0
12.0,22.0
12.0,20.0
12.0,25.0
12.0,20.0
12.0,20.0
12.0,26.0
12.0,19.0
12.0,30.0
12.0,33.0
12.0,27.0
12.0,21.0
12.0,25.0
12.0,27.0
12.0,28.0
12.0,27.0
12.0,21.0
12.0,31.0
12.0,22.0
12.0,16.0
12.0,24.0
12.0,31.0
12.0,22.0
12.0,21.0
12.0,22.0
12.0,27.0
12.0,30.0
12.0,28.0
12.0,27.0
12.0,24.0
12.0,23.0
12.0,26.0
12.0,26.0
12.0,28.0
12.0,21.0
12.0,20.0
12.0,26.0
12.0,21.0
12.0,22.0
12.0,16.0
12.0,25.0
12.0,18.0
12.0,26.0
12.0,22.0
12.0,17.0
12.0,27.0
12.0,21.0
12.0,22.0
12.0,23.0
12.0,30.0
12.0,24.0
12.0,25.0
12.0,30.0
12.0,20.0
12.0,31.0
12.0,21.0
12.0,28.0
12.0,27.0
12.0,30.0
12.0,18.0
12.0,22.0
12.0,24.0
12.0,23.0
12.0,22.0
12.0,27.0
12.0,25.0
12.0,23.0
12.0,30.0
12.0,22.0
12.0,19.0
12.0,18.0
12.0,20.0
12.0,30.0
12.0,19.0
12.0,25.0
12.0,24.0
12.0,21.0
12.0,28.0
12.0,22.0
12.0,23.0
12.0,19.0
12.0,14.0
12.0,26.0
12.0,24.0
12.0,19.0
12.0,20.0
12.0,29.0
12.0,21.0
12.0,22.0
12.0,28.0
12.0,22.0
12.0,25.0
12.0,19.0
12.0,26.0
12.0,17.0
12.0,22.0
12.0,20.0
12.0,26.0
12.0,21.0
12.0,22.0
12.0,34.0
12.0,18.0
12.0,19.0
12.0,25.0
12.0,24.0
12.0,22.0
12.0,13.0
12.0,14.0
12.0,26.0
12.0,27.0
12.0,24.0
12.0,16.0
12.0,24.0
12.0,20.0
12.0,17.0
12.0,21.0
12.0,28.0
12.0,32.0
12.0,30.0
12.0,19.0
12.0,30.0
12.0,21.0
12.0,17.0
12.0,31.0
12.0,17.0
12.0,17.0
12.0,27.0
12.0,30.0
12.0,29.0
12.0,24.0
12.0,28.0
12.0,21.0
12.0,24.0
12.0,18.0
12.0,24.0
12.0,19.0
12.0,19.0
12.0,21.0
12.0,18.0
12.0,30.0
12.0,30.0
12.0,31.0
12.0,16.0
12.0,23.0
12.0,19.0
12.0,33.0
12.0,24.0
12.0,23.0
12.0,19.0
12.0,23.0
12.0,26.0
12.0,36.0
12.0,23.0
12.0,28.0
12.0,22.0
12.0,26.0
12.0,18.0
12.0,24.0
12.0,24.0
12.0,28.0
12.0,18.0
12.0,30.0
12.0,26.0
12.0,19.0
12.0,19.0
12.0,24.0
12.0,22.0
12.0,22.0
12.0,25.0
12.0,26.0
12.0,25.0
12.0,24.0
12.0,32.0
12.0,20.0
12.0,27.0
12.0,20.0
12.0,25.0
12.0,33.0
12.0,27.0
12.0,25.0
12.0,22.0
12.0,17.0
12.0,22.0
12.0,21.0
12.0,28.0
12.0,19.0
12.0,23.0
12.0,25.0
12.0,25.0
12.0,20.0
12.0,28.0
12.0,27.0
12.0,28.0
12.0,20.0
12.0,27.0
12.0,31.0
12.0,26.0
12.0,28.0
12.0,24.0
12.0,24.0
12.0,22.0
12.0,23.0
12.0,23.0
12.0,28.0
12.0,19.0
12.0,22.0
12.0,25.0
12.0,19.0
12.0,28.0
12.0,30.0
12.0,21.0
12.0,27.0
12.0,22.0
12.0,23.0
12.0,33.0
12.0,25.0
12.0,26.0
12.0,25.0
12.0,21.0
12.0,23.0
12.0,24.0
12.0,29.0
12.0,24.0
12.0,27.0
12.0,26.0
12.0,20.0
12.0,18.0
12.0,18.0
12.0,28.0
12.0,27.0
12.0,22.0
12.0,23.0
12.0,19.0
12.0,26.0
12.0,25.0
12.0,23.0
12.0,28.0
12.0,22.0
12.0,20.0
12.0,24.0
12.0,25.0
12.0,24.0
12.0,31.0
12.0,27.0
12.0,23.0
12.0,16.0
12.0,21.0
12.0,22.0
12.0,27.0
12.0,24.0
12.0,25.0
12.0,23.0
12.0,21.0
12.0,22.0
12.0,18.0
12.0,23.0
12.0,24.0
12.0,26.0
12.0,22.0
12.0,18.0
12.0,31.0
12.0,31.0
12.0,28.0
12.0,18.0
12.0,21.0
12.0,27.0
12.0,22.0
12.0,21.0
12.0,26.0
12.0,30.0
12.0,23.0
12.0,29.0
12.0,15.0
12.0,23.0
12.0,17.0
12.0,22.0
12.0,27.0
12.0,23.0
12.0,34.0
12.0,22.0
12.0,23.0
12.0,25.0
