N_entangling,N_entangling_sampler
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,5.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,5.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,7.0
4.0,5.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,5.0
4.0,4.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,7.0
4.0,7.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
