N_entangling,N_entangling_sampler
11.0,12.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,9.0
11.0,14.0
11.0,9.0
11.0,14.0
11.0,12.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,12.0
11.0,12.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,10.0
11.0,13.0
11.0,13.0
11.0,12.0
11.0,14.0
11.0,17.0
11.0,13.0
11.0,12.0
11.0,11.0
11.0,10.0
11.0,15.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,10.0
11.0,10.0
11.0,13.0
11.0,14.0
11.0,17.0
11.0,14.0
11.0,11.0
11.0,11.0
11.0,11.0
11.0,13.0
11.0,8.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,17.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,11.0
11.0,11.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,11.0
11.0,14.0
11.0,15.0
11.0,11.0
11.0,9.0
11.0,12.0
11.0,14.0
11.0,10.0
11.0,15.0
11.0,12.0
11.0,9.0
11.0,13.0
11.0,12.0
11.0,12.0
11.0,11.0
11.0,14.0
11.0,15.0
11.0,14.0
11.0,14.0
11.0,8.0
11.0,14.0
11.0,13.0
11.0,13.0
11.0,11.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,17.0
11.0,11.0
11.0,13.0
11.0,12.0
11.0,11.0
11.0,12.0
11.0,9.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,9.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,14.0
11.0,9.0
11.0,12.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,6.0
11.0,8.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,10.0
11.0,14.0
11.0,10.0
11.0,11.0
11.0,17.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,12.0
11.0,14.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,9.0
11.0,11.0
11.0,8.0
11.0,14.0
11.0,13.0
11.0,13.0
11.0,11.0
11.0,14.0
11.0,13.0
11.0,15.0
11.0,14.0
11.0,14.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,11.0
11.0,11.0
11.0,11.0
11.0,14.0
11.0,14.0
11.0,9.0
11.0,11.0
11.0,9.0
11.0,14.0
11.0,11.0
11.0,13.0
11.0,13.0
11.0,12.0
11.0,9.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,10.0
11.0,13.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,12.0
11.0,17.0
11.0,14.0
11.0,12.0
11.0,15.0
11.0,14.0
11.0,12.0
11.0,12.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,13.0
11.0,10.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,11.0
11.0,14.0
11.0,13.0
11.0,13.0
11.0,11.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,8.0
11.0,14.0
11.0,10.0
11.0,15.0
11.0,10.0
11.0,9.0
11.0,14.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,13.0
11.0,12.0
11.0,13.0
11.0,8.0
11.0,14.0
11.0,10.0
11.0,11.0
11.0,14.0
11.0,15.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,17.0
11.0,11.0
11.0,9.0
11.0,14.0
11.0,10.0
11.0,11.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,10.0
11.0,11.0
11.0,10.0
11.0,14.0
11.0,11.0
11.0,14.0
11.0,13.0
11.0,12.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,12.0
11.0,17.0
11.0,13.0
11.0,17.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,10.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,13.0
11.0,17.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,10.0
11.0,14.0
11.0,9.0
11.0,13.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,9.0
11.0,12.0
11.0,14.0
11.0,11.0
11.0,14.0
11.0,14.0
11.0,12.0
11.0,14.0
11.0,14.0
11.0,11.0
11.0,15.0
11.0,14.0
11.0,10.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,14.0
11.0,13.0
11.0,14.0
11.0,13.0
11.0,11.0
11.0,11.0
11.0,14.0
