N_entangling,N_entangling_sampler
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
