sequences,seq_str,occur,freq
"[10, 6, 6, 2, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3",929,0.929
"[6, 10, 6, 2, 6, 10, 0, 0, 0, 0]","1-2, 2-3, 1-2, 0-1, 1-2, 2-3",8,0.008
"[2, 6, 6, 2, 6, 10, 0, 0, 0, 0]","0-1, 1-2, 1-2, 0-1, 1-2, 2-3",6,0.006
"[10, 10, 6, 6, 2, 6, 10, 0, 0, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 1-2, 2-3",5,0.005
"[10, 6, 6, 2, 10, 6, 0, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 2-3, 1-2",5,0.005
"[10, 6, 10, 2, 6, 10, 6, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 1-2",4,0.004
"[10, 10, 6, 2, 6, 6, 10, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 1-2, 2-3",4,0.004
"[10, 6, 10, 2, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 0-1",4,0.004
"[10, 6, 10, 6, 2, 6, 0, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1, 1-2",4,0.004
"[10, 6, 6, 6, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 1-2, 1-2, 0-1, 1-2, 2-3",3,0.003
"[10, 6, 10, 6, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 2-3",3,0.003
"[10, 10, 6, 2, 6, 10, 0, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3",2,0.002
"[10, 6, 10, 2, 6, 10, 2, 2, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 0-1, 0-1",2,0.002
"[10, 6, 6, 6, 2, 6, 6, 6, 10, 0]","2-3, 1-2, 1-2, 1-2, 0-1, 1-2, 1-2, 1-2, 2-3",1,0.001
"[10, 6, 10, 2, 6, 6, 10, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 1-2, 2-3",1,0.001
"[10, 10, 6, 2, 6, 6, 0, 0, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 1-2",1,0.001
"[10, 6, 6, 2, 6, 10, 2, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 0-1",1,0.001
"[10, 6, 10, 6, 2, 0, 0, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1",1,0.001
"[6, 2, 6, 0, 0, 0, 0, 0, 0, 0]","1-2, 0-1, 1-2",1,0.001
"[10, 6, 10, 2, 6, 10, 6, 6, 6, 6]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 1-2, 1-2, 1-2, 1-2",1,0.001
"[10, 6, 6, 6, 2, 10, 6, 0, 0, 0]","2-3, 1-2, 1-2, 1-2, 0-1, 2-3, 1-2",1,0.001
"[10, 6, 6, 2, 6, 10, 10, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 1-2, 2-3, 2-3",1,0.001
"[10, 6, 10, 6, 2, 6, 6, 0, 0, 0]","2-3, 1-2, 2-3, 1-2, 0-1, 1-2, 1-2",1,0.001
"[6, 10, 10, 10, 2, 6, 2, 0, 0, 0]","1-2, 2-3, 2-3, 2-3, 0-1, 1-2, 0-1",1,0.001
"[10, 6, 10, 2, 6, 6, 10, 2, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 1-2, 2-3, 0-1",1,0.001
"[6, 6, 6, 2, 10, 10, 6, 2, 2, 0]","1-2, 1-2, 1-2, 0-1, 2-3, 2-3, 1-2, 0-1, 0-1",1,0.001
"[10, 6, 10, 2, 6, 10, 2, 2, 6, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3, 0-1, 0-1, 1-2",1,0.001
"[10, 6, 10, 2, 6, 6, 10, 6, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 1-2, 2-3, 1-2",1,0.001
"[10, 10, 6, 6, 2, 10, 6, 0, 0, 0]","2-3, 2-3, 1-2, 1-2, 0-1, 2-3, 1-2",1,0.001
"[10, 6, 6, 2, 2, 6, 10, 0, 0, 0]","2-3, 1-2, 1-2, 0-1, 0-1, 1-2, 2-3",1,0.001
"[10, 10, 6, 2, 6, 10, 2, 2, 0, 0]","2-3, 2-3, 1-2, 0-1, 1-2, 2-3, 0-1, 0-1",1,0.001
"[6, 10, 10, 6, 6, 2, 6, 10, 0, 0]","1-2, 2-3, 2-3, 1-2, 1-2, 0-1, 1-2, 2-3",1,0.001
"[10, 6, 2, 6, 2, 10, 6, 0, 0, 0]","2-3, 1-2, 0-1, 1-2, 0-1, 2-3, 1-2",1,0.001
"[10, 6, 10, 2, 6, 10, 0, 0, 0, 0]","2-3, 1-2, 2-3, 0-1, 1-2, 2-3",1,0.001
