sequences,seq_str,occur,freq
"[3, 10, 7, 6, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 1-3, 1-2",2,0.002
"[4, 7, 3, 10, 4, 0, 0, 0, 0, 0]","0-3, 1-3, 0-2, 2-3, 0-3",2,0.002
"[4, 7, 7, 3, 6, 0, 0, 0, 0, 0]","0-3, 1-3, 1-3, 0-2, 1-2",2,0.002
"[4, 7, 4, 4, 10, 0, 0, 0, 0, 0]","0-3, 1-3, 0-3, 0-3, 2-3",2,0.002
"[4, 2, 3, 6, 7, 0, 0, 0, 0, 0]","0-3, 0-1, 0-2, 1-2, 1-3",2,0.002
"[7, 7, 3, 7, 6, 0, 0, 0, 0, 0]","1-3, 1-3, 0-2, 1-3, 1-2",2,0.002
"[7, 7, 4, 7, 10, 0, 0, 0, 0, 0]","1-3, 1-3, 0-3, 1-3, 2-3",2,0.002
"[4, 2, 3, 3, 10, 0, 0, 0, 0, 0]","0-3, 0-1, 0-2, 0-2, 2-3",2,0.002
"[4, 3, 10, 7, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 2-3, 1-3",2,0.002
"[4, 2, 4, 10, 0, 0, 0, 0, 0, 0]","0-3, 0-1, 0-3, 2-3",2,0.002
"[3, 7, 4, 6, 0, 0, 0, 0, 0, 0]","0-2, 1-3, 0-3, 1-2",2,0.002
"[4, 10, 2, 6, 0, 0, 0, 0, 0, 0]","0-3, 2-3, 0-1, 1-2",2,0.002
"[2, 4, 3, 7, 6, 0, 0, 0, 0, 0]","0-1, 0-3, 0-2, 1-3, 1-2",2,0.002
"[10, 2, 3, 0, 0, 0, 0, 0, 0, 0]","2-3, 0-1, 0-2",2,0.002
"[7, 7, 3, 4, 10, 7, 0, 0, 0, 0]","1-3, 1-3, 0-2, 0-3, 2-3, 1-3",2,0.002
"[2, 7, 4, 10, 0, 0, 0, 0, 0, 0]","0-1, 1-3, 0-3, 2-3",2,0.002
"[4, 2, 4, 10, 3, 0, 0, 0, 0, 0]","0-3, 0-1, 0-3, 2-3, 0-2",2,0.002
"[2, 4, 10, 0, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 2-3",2,0.002
"[7, 3, 6, 0, 0, 0, 0, 0, 0, 0]","1-3, 0-2, 1-2",2,0.002
"[2, 10, 3, 7, 2, 0, 0, 0, 0, 0]","0-1, 2-3, 0-2, 1-3, 0-1",2,0.002
"[7, 10, 4, 3, 6, 0, 0, 0, 0, 0]","1-3, 2-3, 0-3, 0-2, 1-2",2,0.002
"[3, 2, 4, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-1, 0-3",2,0.002
"[10, 3, 3, 6, 0, 0, 0, 0, 0, 0]","2-3, 0-2, 0-2, 1-2",2,0.002
"[4, 3, 3, 7, 6, 0, 0, 0, 0, 0]","0-3, 0-2, 0-2, 1-3, 1-2",2,0.002
"[4, 3, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 0-2, 1-2",2,0.002
"[4, 7, 6, 0, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 1-2",2,0.002
"[3, 4, 3, 7, 6, 0, 0, 0, 0, 0]","0-2, 0-3, 0-2, 1-3, 1-2",2,0.002
"[2, 4, 10, 6, 0, 0, 0, 0, 0, 0]","0-1, 0-3, 2-3, 1-2",2,0.002
"[7, 10, 3, 4, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 0-3",2,0.002
"[3, 4, 7, 0, 0, 0, 0, 0, 0, 0]","0-2, 0-3, 1-3",2,0.002
"[7, 4, 3, 10, 7, 0, 0, 0, 0, 0]","1-3, 0-3, 0-2, 2-3, 1-3",2,0.002
"[4, 7, 10, 6, 3, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 1-2, 0-2",2,0.002
"[4, 7, 7, 10, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 1-3, 2-3",2,0.002
"[7, 10, 4, 0, 0, 0, 0, 0, 0, 0]","1-3, 2-3, 0-3",2,0.002
"[10, 3, 4, 7, 6, 0, 0, 0, 0, 0]","2-3, 0-2, 0-3, 1-3, 1-2",2,0.002
"[3, 10, 6, 0, 0, 0, 0, 0, 0, 0]","0-2, 2-3, 1-2",2,0.002
"[3, 4, 10, 3, 6, 0, 0, 0, 0, 0]","0-2, 0-3, 2-3, 0-2, 1-2",1,0.001
"[10, 4, 3, 4, 10, 7, 0, 0, 0, 0]","2-3, 0-3, 0-2, 0-3, 2-3, 1-3",1,0.001
"[3, 4, 7, 10, 7, 6, 0, 0, 0, 0]","0-2, 0-3, 1-3, 2-3, 1-3, 1-2",1,0.001
"[3, 4, 7, 7, 4, 2, 0, 0, 0, 0]","0-2, 0-3, 1-3, 1-3, 0-3, 0-1",1,0.001
"[10, 3, 2, 10, 3, 0, 0, 0, 0, 0]","2-3, 0-2, 0-1, 2-3, 0-2",1,0.001
"[4, 7, 6, 4, 10, 0, 0, 0, 0, 0]","0-3, 1-3, 1-2, 0-3, 2-3",1,0.001
"[4, 7, 10, 2, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 0-1",1,0.001
"[7, 10, 3, 3, 2, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 0-2, 0-1",1,0.001
"[7, 4, 10, 6, 0, 0, 0, 0, 0, 0]","1-3, 0-3, 2-3, 1-2",1,0.001
"[3, 7, 7, 6, 4, 0, 0, 0, 0, 0]","0-2, 1-3, 1-3, 1-2, 0-3",1,0.001
"[2, 7, 3, 2, 3, 0, 0, 0, 0, 0]","0-1, 1-3, 0-2, 0-1, 0-2",1,0.001
"[4, 3, 10, 3, 6, 0, 0, 0, 0, 0]","0-3, 0-2, 2-3, 0-2, 1-2",1,0.001
"[4, 7, 2, 10, 0, 0, 0, 0, 0, 0]","0-3, 1-3, 0-1, 2-3",1,0.001
"[7, 2, 7, 4, 7, 10, 7, 0, 0, 0]","1-3, 0-1, 1-3, 0-3, 1-3, 2-3, 1-3",1,0.001
"[7, 2, 7, 4, 10, 6, 0, 0, 0, 0]","1-3, 0-1, 1-3, 0-3, 2-3, 1-2",1,0.001
"[10, 4, 6, 10, 0, 0, 0, 0, 0, 0]","2-3, 0-3, 1-2, 2-3",1,0.001
